"Probe","R_lowLM","P_lowLM","R_highLM","P_highLM","Gene"
"TC12002390.hg.1",0.221010341763664,"Not-Significant",0.811884252991993,"Significant","IL23A"
"TC12002734.hg.1",0.28011789965027,"Not-Significant",0.711339867441973,"Significant","SLC2A3"
"TC14000471.hg.1",-0.0521466962134692,"Not-Significant",0.547298217764258,"Significant","FOS"
"TC14000794.hg.1",0.148163670181466,"Not-Significant",0.654730848242333,"Significant","TNFAIP2"
"TC14001036.hg.1",0.073177661678157,"Not-Significant",0.624303214537963,"Significant","NFKBIA"
"TC15001719.hg.1",0.300882679458823,"Not-Significant",0.554986995653004,"Significant","BCL2A1"
"TC16000870.hg.1",-0.0941715188031951,"Not-Significant",0.740612802222122,"Significant","LITAF"
"TC16001773.hg.1",-0.183033924927477,"Not-Significant",0.778833176060379,"Significant","LITAF"
"TC17000117.hg.1",-0.167421271243523,"Not-Significant",0.568537433620985,"Significant","KDM6B"
"TC17000297.hg.1",-0.302630474145686,"Not-Significant",0.42754079491138,"Significant","MAP2K3"
"TC17000408.hg.1",0.61266346679156,"Significant",0.676378827989741,"Significant","CCL4"
"TC17000514.hg.1",0.0932675802833457,"Not-Significant",0.597722494995169,"Significant","EIF1"
"TC17001820.hg.1",0.400817430662192,"Not-Significant",0.418597024882864,"Significant","SLC16A6"
"TC17001917.hg.1",0.249222146432283,"Not-Significant",0.705108987676448,"Significant","SOCS3"
"TC17002207.hg.1",-0.204780756110054,"Not-Significant",0.539447730530587,"Significant","EIF1"
"TC18001001.hg.1",0.281900578250236,"Not-Significant",-0.391870249477812,"Significant","SERPINB8"
"TC19000174.hg.1",0.168910925462846,"Not-Significant",0.540517627526775,"Significant","ICAM1"
"TC19000228.hg.1",0.0470607132627368,"Not-Significant",0.579139230230536,"Significant","JUNB"
"TC19000237.hg.1",0.107062565222745,"Not-Significant",0.41537165908321,"Significant","IER2"
"TC19000544.hg.1",0.00691029085873375,"Not-Significant",0.49913283339714,"Significant","ZFP36"
"TC19000711.hg.1",-0.141450530496478,"Not-Significant",0.519584998299767,"Significant","PPP1R15A"
"TC19001593.hg.1",-0.200518105681066,"Not-Significant",0.454703483963328,"Significant","PLAUR"
"TC19001938.hg.1",0.00481418901091602,"Not-Significant",0.499521077179869,"Significant","GADD45B"
"TC19001977.hg.1",0.501911553847728,"Not-Significant",0.651876760193109,"Significant","ICAM1"
"TC20000928.hg.1",-0.195511970304052,"Not-Significant",0.764453702109767,"Significant","B4GALT5"
"TC21000129.hg.1",-0.221082514245098,"Not-Significant",0.792570332942511,"Significant","IFNGR2"
"TC21000169.hg.1",-0.0492449425535167,"Not-Significant",0.655507619611628,"Significant","ETS2"
"TC6_apd_hap1000105.hg.1",-0.249801339985025,"Not-Significant",0.644209306859042,"Significant","TAP1"
"TC6_cox_hap2000143.hg.1",-0.162206248734936,"Not-Significant",0.595160231472291,"Significant","IER3"
