"Gene","Group"
"MAP3K7","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"MAPK1","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"MAPK10","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"MAPK11","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"MAPK14","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"MAPK3","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"MAPK7","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"MAPK8","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"MAPK9","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"MAPKAPK2","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"MAPKAPK3","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"MEF2A","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"MEF2C","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"MYD88","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"NFKB2","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"NFKBIA","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"NFKBIB","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"NOD1","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"NOD2","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"PELI1","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"PELI2","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"PELI3","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"PPP2CA","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"PPP2CB","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"PPP2R1A","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"PPP2R1B","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"PPP2R5D","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"RELA","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"RIPK1","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"RIPK2","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"RPS27A","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"RPS27AP11","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"RPS6KA1","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"RPS6KA2","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"RPS6KA3","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"RPS6KA5","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"S100A12","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"S100B","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"SAA1","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"SIGIRR","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"TAB1","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"TAB2","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"TAB3","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"TBK1","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"TICAM1","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"TICAM2","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"TIRAP","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"TLR1","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"TLR2","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"TLR3","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"TLR4","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"TLR6","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"TMEM189-UBE2V1","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"TRAF3","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"TRAF6","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"UBA52","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"UBE2N","REACTOME_ACTIVATED_TLR4_SIGNALLING"
"ADAM17","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"AXIN1","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"AXIN2","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"CCND2","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"CSNK1E","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"CTNNB1","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"CUL1","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"DKK1","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"DKK4","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"DLL1","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"DVL2","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"FRAT1","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"FZD1","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"FZD8","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"GNAI1","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"HDAC11","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"HDAC2","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"HDAC5","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"HEY1","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"HEY2","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"JAG1","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"JAG2","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"KAT2A","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"LEF1","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"MAML1","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"MYC","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"NCOR2","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"NCSTN","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"NKD1","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"NOTCH1","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"NOTCH4","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"NUMB","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"PPARD","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"PSEN2","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"PTCH1","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"RBPJ","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"SKP2","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"TCF7","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"TP53","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"WNT1","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"WNT5B","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"WNT6","HALLMARK_WNT_BETA_CATENIN_SIGNALING"
"ABCA1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"AREG","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"ATF3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"ATP2B1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"B4GALT1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"B4GALT5","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"BCL2A1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"BCL3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"BCL6","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"BHLHE40","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"BIRC2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"BIRC3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"BMP2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"BTG1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"BTG2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"BTG3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"CCL2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"CCL20","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"CCL4","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"CCL5","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"CCND1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"CCNL1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"CCRL2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"CD44","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"CD69","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"CD80","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"CD83","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"CDKN1A","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"CEBPB","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"CEBPD","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"CFLAR","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"CLCF1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"CSF1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"CSF2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"CXCL1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"CXCL10","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"CXCL11","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"CXCL2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"CXCL3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"CXCL6","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"CXCR7","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"CYR61","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"DDX58","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"DENND5A","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"DNAJB4","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"DRAM1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"DUSP1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"DUSP2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"DUSP4","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"DUSP5","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"EDN1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"EFNA1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"EGR1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"EGR2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"EGR3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"EHD1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"EIF1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"ETS2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"F2RL1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"F3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"FJX1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"FOS","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"FOSB","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"FOSL1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"FOSL2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"FUT4","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"G0S2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"GADD45A","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"GADD45B","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"GCH1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"GEM","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"GFPT2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"GPR183","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"HBEGF","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"HES1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"ICAM1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"ICOSLG","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"ID2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"IER2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"IER3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"IER5","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"IFIH1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"IFIT2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"IFNGR2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"IL12B","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"IL15RA","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"IL18","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"IL1A","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"IL1B","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"IL23A","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"IL6","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"IL6ST","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"IL7R","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"INHBA","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"IRF1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"IRS2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"JAG1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"JUN","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"JUNB","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"KDM6B","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"KLF10","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"KLF2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"KLF4","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"KLF6","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"KLF9","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"KYNU","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"LAMB3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"LDLR","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"LIF","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"LITAF","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"MAFF","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"MAP2K3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"MAP3K8","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"MARCKS","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"MCL1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"MSC","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"MXD1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"MYC","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"NAMPT","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"NFAT5","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"NFE2L2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"NFIL3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"NFKB1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"NFKB2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"NFKBIA","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"NFKBIE","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"NINJ1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"NR4A1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"NR4A2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"NR4A3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"OLR1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"PANX1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"PDE4B","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"PDLIM5","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"PER1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"PFKFB3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"PHLDA1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"PHLDA2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"PLAU","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"PLAUR","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"PLEK","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"PLK2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"PMEPA1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"PNRC1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"PPAP2B","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"PPP1R15A","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"PTGER4","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"PTGS2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"PTPRE","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"PTX3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"RCAN1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"REL","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"RELA","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"RELB","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"RHOB","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"RIPK2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"RNF19B","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"SAT1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"SDC4","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"SERPINB2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"SERPINB8","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"SERPINE1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"SGK1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"SIK1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"SLC16A6","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"SLC2A3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"SLC2A6","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"SMAD3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"SNN","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"SOCS3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"SOD2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"SPHK1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"SPSB1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"SQSTM1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"STAT5A","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"TANK","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"TAP1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"TGIF1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"TIPARP","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"TLR2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"TNC","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"TNF","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"TNFAIP2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"TNFAIP3","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"TNFAIP6","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"TNFAIP8","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"TNFRSF9","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"TNFSF9","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"TNIP1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"TNIP2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"TRAF1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"TRIB1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"TRIP10","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"TSC22D1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"TUBB2A","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"VEGFA","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"YRDC","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"ZBTB10","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"ZC3H12A","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"ZFP36","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"ABCA1","HALLMARK_INFLAMMATORY_RESPONSE"
"ABI1","HALLMARK_INFLAMMATORY_RESPONSE"
"ACVR1B","HALLMARK_INFLAMMATORY_RESPONSE"
"ACVR2A","HALLMARK_INFLAMMATORY_RESPONSE"
"ADM","HALLMARK_INFLAMMATORY_RESPONSE"
"ADORA2B","HALLMARK_INFLAMMATORY_RESPONSE"
"ADRM1","HALLMARK_INFLAMMATORY_RESPONSE"
"AHR","HALLMARK_INFLAMMATORY_RESPONSE"
"APLNR","HALLMARK_INFLAMMATORY_RESPONSE"
"AQP9","HALLMARK_INFLAMMATORY_RESPONSE"
"ATP2A2","HALLMARK_INFLAMMATORY_RESPONSE"
"ATP2B1","HALLMARK_INFLAMMATORY_RESPONSE"
"ATP2C1","HALLMARK_INFLAMMATORY_RESPONSE"
"AXL","HALLMARK_INFLAMMATORY_RESPONSE"
"BDKRB1","HALLMARK_INFLAMMATORY_RESPONSE"
"BEST1","HALLMARK_INFLAMMATORY_RESPONSE"
"BST2","HALLMARK_INFLAMMATORY_RESPONSE"
"BTG2","HALLMARK_INFLAMMATORY_RESPONSE"
"C3AR1","HALLMARK_INFLAMMATORY_RESPONSE"
"C5AR1","HALLMARK_INFLAMMATORY_RESPONSE"
"CALCRL","HALLMARK_INFLAMMATORY_RESPONSE"
"CCL17","HALLMARK_INFLAMMATORY_RESPONSE"
"CCL2","HALLMARK_INFLAMMATORY_RESPONSE"
"CCL20","HALLMARK_INFLAMMATORY_RESPONSE"
"CCL22","HALLMARK_INFLAMMATORY_RESPONSE"
"CCL24","HALLMARK_INFLAMMATORY_RESPONSE"
"CCL5","HALLMARK_INFLAMMATORY_RESPONSE"
"CCL7","HALLMARK_INFLAMMATORY_RESPONSE"
"CCR7","HALLMARK_INFLAMMATORY_RESPONSE"
"CCRL2","HALLMARK_INFLAMMATORY_RESPONSE"
"CD14","HALLMARK_INFLAMMATORY_RESPONSE"
"CD40","HALLMARK_INFLAMMATORY_RESPONSE"
"CD48","HALLMARK_INFLAMMATORY_RESPONSE"
"CD55","HALLMARK_INFLAMMATORY_RESPONSE"
"CD69","HALLMARK_INFLAMMATORY_RESPONSE"
"CD70","HALLMARK_INFLAMMATORY_RESPONSE"
"CD82","HALLMARK_INFLAMMATORY_RESPONSE"
"CDKN1A","HALLMARK_INFLAMMATORY_RESPONSE"
"CHST2","HALLMARK_INFLAMMATORY_RESPONSE"
"CLEC5A","HALLMARK_INFLAMMATORY_RESPONSE"
"CMKLR1","HALLMARK_INFLAMMATORY_RESPONSE"
"CSF1","HALLMARK_INFLAMMATORY_RESPONSE"
"CSF3","HALLMARK_INFLAMMATORY_RESPONSE"
"CSF3R","HALLMARK_INFLAMMATORY_RESPONSE"
"CX3CL1","HALLMARK_INFLAMMATORY_RESPONSE"
"CXCL10","HALLMARK_INFLAMMATORY_RESPONSE"
"CXCL11","HALLMARK_INFLAMMATORY_RESPONSE"
"CXCL6","HALLMARK_INFLAMMATORY_RESPONSE"
"CXCL9","HALLMARK_INFLAMMATORY_RESPONSE"
"CXCR6","HALLMARK_INFLAMMATORY_RESPONSE"
"CYBB","HALLMARK_INFLAMMATORY_RESPONSE"
"DCBLD2","HALLMARK_INFLAMMATORY_RESPONSE"
"EBI3","HALLMARK_INFLAMMATORY_RESPONSE"
"EDN1","HALLMARK_INFLAMMATORY_RESPONSE"
"EIF2AK2","HALLMARK_INFLAMMATORY_RESPONSE"
"EMP3","HALLMARK_INFLAMMATORY_RESPONSE"
"EMR1","HALLMARK_INFLAMMATORY_RESPONSE"
"EREG","HALLMARK_INFLAMMATORY_RESPONSE"
"F3","HALLMARK_INFLAMMATORY_RESPONSE"
"FFAR2","HALLMARK_INFLAMMATORY_RESPONSE"
"FPR1","HALLMARK_INFLAMMATORY_RESPONSE"
"FZD5","HALLMARK_INFLAMMATORY_RESPONSE"
"GABBR1","HALLMARK_INFLAMMATORY_RESPONSE"
"GCH1","HALLMARK_INFLAMMATORY_RESPONSE"
"GNA15","HALLMARK_INFLAMMATORY_RESPONSE"
"GNAI3","HALLMARK_INFLAMMATORY_RESPONSE"
"GP1BA","HALLMARK_INFLAMMATORY_RESPONSE"
"GPC3","HALLMARK_INFLAMMATORY_RESPONSE"
"GPR132","HALLMARK_INFLAMMATORY_RESPONSE"
"GPR183","HALLMARK_INFLAMMATORY_RESPONSE"
"HAS2","HALLMARK_INFLAMMATORY_RESPONSE"
"HBEGF","HALLMARK_INFLAMMATORY_RESPONSE"
"HIF1A","HALLMARK_INFLAMMATORY_RESPONSE"
"HPN","HALLMARK_INFLAMMATORY_RESPONSE"
"HRH1","HALLMARK_INFLAMMATORY_RESPONSE"
"ICAM1","HALLMARK_INFLAMMATORY_RESPONSE"
"ICAM4","HALLMARK_INFLAMMATORY_RESPONSE"
"ICOSLG","HALLMARK_INFLAMMATORY_RESPONSE"
"IFITM1","HALLMARK_INFLAMMATORY_RESPONSE"
"IFNAR1","HALLMARK_INFLAMMATORY_RESPONSE"
"IFNGR2","HALLMARK_INFLAMMATORY_RESPONSE"
"IL10","HALLMARK_INFLAMMATORY_RESPONSE"
"IL10RA","HALLMARK_INFLAMMATORY_RESPONSE"
"IL12B","HALLMARK_INFLAMMATORY_RESPONSE"
"IL15","HALLMARK_INFLAMMATORY_RESPONSE"
"IL15RA","HALLMARK_INFLAMMATORY_RESPONSE"
"IL18","HALLMARK_INFLAMMATORY_RESPONSE"
"IL18R1","HALLMARK_INFLAMMATORY_RESPONSE"
"IL18RAP","HALLMARK_INFLAMMATORY_RESPONSE"
"IL1A","HALLMARK_INFLAMMATORY_RESPONSE"
"IL1B","HALLMARK_INFLAMMATORY_RESPONSE"
"IL1R1","HALLMARK_INFLAMMATORY_RESPONSE"
"IL2RB","HALLMARK_INFLAMMATORY_RESPONSE"
"IL4R","HALLMARK_INFLAMMATORY_RESPONSE"
"IL6","HALLMARK_INFLAMMATORY_RESPONSE"
"IL7R","HALLMARK_INFLAMMATORY_RESPONSE"
"IL8","HALLMARK_INFLAMMATORY_RESPONSE"
"INHBA","HALLMARK_INFLAMMATORY_RESPONSE"
"IRAK2","HALLMARK_INFLAMMATORY_RESPONSE"
"IRF1","HALLMARK_INFLAMMATORY_RESPONSE"
"IRF7","HALLMARK_INFLAMMATORY_RESPONSE"
"ITGA5","HALLMARK_INFLAMMATORY_RESPONSE"
"ITGB3","HALLMARK_INFLAMMATORY_RESPONSE"
"ITGB8","HALLMARK_INFLAMMATORY_RESPONSE"
"KCNA3","HALLMARK_INFLAMMATORY_RESPONSE"
"KCNJ2","HALLMARK_INFLAMMATORY_RESPONSE"
"KCNMB2","HALLMARK_INFLAMMATORY_RESPONSE"
