"Gene","Group"
"SAT1","HALLMARK_APOPTOSIS"
"SATB1","HALLMARK_APOPTOSIS"
"SC5DL","HALLMARK_APOPTOSIS"
"SLC20A1","HALLMARK_APOPTOSIS"
"SMAD7","HALLMARK_APOPTOSIS"
"SOD1","HALLMARK_APOPTOSIS"
"SOD2","HALLMARK_APOPTOSIS"
"SPTAN1","HALLMARK_APOPTOSIS"
"SQSTM1","HALLMARK_APOPTOSIS"
"TAP1","HALLMARK_APOPTOSIS"
"TGFB2","HALLMARK_APOPTOSIS"
"TGFBR3","HALLMARK_APOPTOSIS"
"TIMP1","HALLMARK_APOPTOSIS"
"TIMP2","HALLMARK_APOPTOSIS"
"TIMP3","HALLMARK_APOPTOSIS"
"TNF","HALLMARK_APOPTOSIS"
"TNFRSF12A","HALLMARK_APOPTOSIS"
"TNFSF10","HALLMARK_APOPTOSIS"
"TOP2A","HALLMARK_APOPTOSIS"
"TSPO","HALLMARK_APOPTOSIS"
"TXNIP","HALLMARK_APOPTOSIS"
"VDAC2","HALLMARK_APOPTOSIS"
"WEE1","HALLMARK_APOPTOSIS"
"XIAP","HALLMARK_APOPTOSIS"
"C12orf5","GO_INTESTINAL_EPITHELIAL_CELL_DEVELOPMENT"
"C1GALT1","GO_INTESTINAL_EPITHELIAL_CELL_DEVELOPMENT"
"CDKN1A","GO_INTESTINAL_EPITHELIAL_CELL_DEVELOPMENT"
"HIF1A","GO_INTESTINAL_EPITHELIAL_CELL_DEVELOPMENT"
"HOXA5","GO_INTESTINAL_EPITHELIAL_CELL_DEVELOPMENT"
"KLF5","GO_INTESTINAL_EPITHELIAL_CELL_DEVELOPMENT"
"NKX3-2","GO_INTESTINAL_EPITHELIAL_CELL_DEVELOPMENT"
"PRDM1","GO_INTESTINAL_EPITHELIAL_CELL_DEVELOPMENT"
"SPDEF","GO_INTESTINAL_EPITHELIAL_CELL_DEVELOPMENT"
"TYMS","GO_INTESTINAL_EPITHELIAL_CELL_DEVELOPMENT"
"YIPF6","GO_INTESTINAL_EPITHELIAL_CELL_DEVELOPMENT"
"C12orf5","GO_INTESTINAL_EPITHELIAL_CELL_DIFFERENTIATION"
"C1GALT1","GO_INTESTINAL_EPITHELIAL_CELL_DIFFERENTIATION"
"CDKN1A","GO_INTESTINAL_EPITHELIAL_CELL_DIFFERENTIATION"
"CDX2","GO_INTESTINAL_EPITHELIAL_CELL_DIFFERENTIATION"
"GATA4","GO_INTESTINAL_EPITHELIAL_CELL_DIFFERENTIATION"
"GATA5","GO_INTESTINAL_EPITHELIAL_CELL_DIFFERENTIATION"
"GATA6","GO_INTESTINAL_EPITHELIAL_CELL_DIFFERENTIATION"
"HIF1A","GO_INTESTINAL_EPITHELIAL_CELL_DIFFERENTIATION"
"HOXA5","GO_INTESTINAL_EPITHELIAL_CELL_DIFFERENTIATION"
"KLF5","GO_INTESTINAL_EPITHELIAL_CELL_DIFFERENTIATION"
"NKX3-2","GO_INTESTINAL_EPITHELIAL_CELL_DIFFERENTIATION"
"PRDM1","GO_INTESTINAL_EPITHELIAL_CELL_DIFFERENTIATION"
"PTK6","GO_INTESTINAL_EPITHELIAL_CELL_DIFFERENTIATION"
"SAV1","GO_INTESTINAL_EPITHELIAL_CELL_DIFFERENTIATION"
"SPDEF","GO_INTESTINAL_EPITHELIAL_CELL_DIFFERENTIATION"
"TYMS","GO_INTESTINAL_EPITHELIAL_CELL_DIFFERENTIATION"
"YIPF6","GO_INTESTINAL_EPITHELIAL_CELL_DIFFERENTIATION"
"AICDA","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"CCL25","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"CCL27","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"CCL28","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"CCR10","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"CCR9","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"CD28","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"CD40","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"CD40LG","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"CD80","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"CD86","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"CXCL12","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"CXCR4","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"HLA-DMA","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"HLA-DMB","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"HLA-DOA","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"HLA-DOB","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"HLA-DPA1","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"HLA-DPB1","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"HLA-DQA1","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"HLA-DQA2","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"HLA-DQB1","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"HLA-DRA","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"HLA-DRB1","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"HLA-DRB3","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"HLA-DRB4","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"HLA-DRB5","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"ICOS","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"ICOSLG","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"IL10","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"IL15","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"IL15RA","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"IL2","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"IL4","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"IL5","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"IL6","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"ITGA4","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"ITGB7","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"LTBR","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"MADCAM1","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"MAP3K14","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"PIGR","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"TGFB1","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"TNFRSF13B","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"TNFRSF13C","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"TNFRSF17","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
